"date","year","month","day","service","pre_percentage","timepoint","traffic","day_number"
2020-03-18,2020,3,18,"AccessARide",54,"pre_est",29522.2222222222,35
2020-03-18,2020,3,18,"BridgesAndTunnels",69,"current",634853,34
2020-03-18,2020,3,18,"BridgesAndTunnels",69,"pre_est",920076.811594203,35
2020-03-18,2020,3,18,"SIRailway",26,"current",4133,34
2020-03-18,2020,3,18,"SIRailway",26,"pre_est",15896.1538461538,35
2020-03-19,2020,3,19,"Subway",26,"current",1422112,36
2020-03-19,2020,3,19,"Subway",26,"pre_est",5469661.53846154,37
2020-03-19,2020,3,19,"Bus",42,"current",933602,36
2020-03-19,2020,3,19,"Bus",42,"pre_est",2222861.9047619,37
2020-03-19,2020,3,19,"LIRR",19,"current",59538,36
2020-03-19,2020,3,19,"LIRR",19,"pre_est",313357.894736842,37
2020-03-19,2020,3,19,"MetroNorth",52,"current",144466,36
2020-03-19,2020,3,19,"MetroNorth",52,"pre_est",277819.230769231,37
2020-03-19,2020,3,19,"AccessARide",47,"current",14116,36
2020-03-19,2020,3,19,"AccessARide",47,"pre_est",30034.0425531915,37
2020-03-19,2020,3,19,"BridgesAndTunnels",62,"current",569696,36
2020-03-19,2020,3,19,"BridgesAndTunnels",62,"pre_est",918864.516129032,37
2020-03-19,2020,3,19,"SIRailway",22,"current",3452,36
2020-03-19,2020,3,19,"SIRailway",22,"pre_est",15690.9090909091,37
2020-03-20,2020,3,20,"Subway",24,"current",1309125,38
2020-03-20,2020,3,20,"Subway",24,"pre_est",5454687.5,39
2020-03-20,2020,3,20,"Bus",39,"current",868602,38
2020-03-20,2020,3,20,"Bus",39,"pre_est",2227184.61538462,39
2020-03-20,2020,3,20,"LIRR",16,"current",50021,38
2020-03-20,2020,3,20,"LIRR",16,"pre_est",312631.25,39
2020-03-20,2020,3,20,"MetroNorth",53,"current",145160,38
2020-03-20,2020,3,20,"MetroNorth",53,"pre_est",273886.79245283,39
2020-03-20,2020,3,20,"AccessARide",43,"current",12744,38
2020-03-20,2020,3,20,"AccessARide",43,"pre_est",29637.2093023256,39
